source-bank,target-swiftcode
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA064
HSBC FRANCE,CCFRFRPP152
CAISSE D'EPARGNE DE LORRAINE CHAMPAGNE-ARDENNE,CEPAFRPP513
FBN BANK UK LTD,FBNIFRPPXXX
GALLIARD CAPITAL MANAGEMENT  INC,WFBIUS44XXX
BANCO DO ESTADO DO RIO GRANDE DO SUL-MIAMI BRANCH,BRGSUS33XXX
ALWATANY BANK OF EGYPT,WABAEGCXSOH
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXSOH
NATIXIS,CCBPFRPPTSY
NATIONAL BANK OF GREECE  (EGYPT NETWORK),ETHNEGCAXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44DXI
THE HIGO BANK LIMITED,HIGOJPJTXXX
ARCELOR TREASURY SNC,USINFRPPXXX
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA0C2
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX371
CITY MORTGAGE BANK OOO,CMBBRUMMXXX
LATVIAN BUSINESS BANK  JOINT STOCK COMPANY,MOSBLV2XXXX
ANZ BANK(VIETNAM) LIMITED,ANZBVNVX472
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX220
EL TADAMOUN EL ARABI BROKERAGE COMPANY,TDAREGCAXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL062
ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR),EBAPFRPSXXX
THE NISHI-NIPPON CITY BANK  LTD,NISIJPJTFKK
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX125
CHINFON COMMERCIAL BANK,CFCBVNVXXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXSHD
CAISSE D'EPARGNE DE LORRAINE,CEPAFRPP545
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAALF
DRESDNER BANK ZAO,DRESRU2XMOS
QATAR DEVELOPMENT BANK,QIDBQAQAXXX
BANQUE PSA FINANCE SA,PSABFRPPXXX
EVRAZBANK OOO,EVRARUMMXXX
BANGKOK BANK PUBLIC COMPANY LIMITED  NEW YORK,BKKBUS33XXX
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,AGIGUS33MKT
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM002
AHLI BANK Q.S.C.,ABQQQAQAAIR
GLOBAL PETRO COMMERCIAL JOINT STOCK BANK,GBNKVNVXXXX
HSBC FRANCE,CCFRFRPP170
BANK FINSERVICE JSC,KOMXRUMMXXX
FIRST TENNESSEE BANK N.A.,FTBMUS44CAP
HSBC FRANCE,CCFRFRPP140
MCSD MISR FOR CLEARING DEPOSITORY AND REGISTRY,MCSDEGCAXXX
ALTA-BANK ZAO,ALTKRUMMXXX
APOLLO BANK,UCBMUS3MXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXGLF
EGYPTIAN ARAB LAND BANK,ARLBEGCAXXX
BANK MELLI IRAN,MELIFRPPXXX
AICHI BANK  LTD.  THE,AICHJPJNXXX
ARAB INVESTMENT BANK,AINBEGCANSR
HSBC PRIVATE BANK FRANCE,BLICFRPXXXX
EVROPEISKY INVESTMENT COMMERCIAL BANK,EVICRU2KXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2ANIM
BANK OF ALGERIA,BALGDZALXXX
CREDIT AGRICOLE SECURITIES ASIA B.V.,CRLYJPJ9XXX
GOLDMAN SACHS MITSUI MARINE DERIVATIVE PRODUCTS  L.P.,GSMMUS33XXX
AGROINKOMBANK,AGRBRU3AXXX
CREDIT DU MAROC - SUCCURSALE DE PARIS,CDMAFRPXXXX
VEOLIA ENVIRONNEMENT SA,VEOEFRPPXXX
BNP PARIBAS ARBITRAGE,BNABFRPPOST
LA BANQUE POSTALE,PSSTFRPPAJA
NATIONAL BANK OF ABU DHABI,NBADEGCASHK
FIFTH THIRD BANK,FTBCUS3CCUS
FIRST HAWAIIAN BANK,FHBKUS77XXX
BFT - BANQUE DE FINANCEMENT ET DE TRESORERIE SA,BFTRFRPPXXX
SOFAX BANQUE,SFAXFRPPXXX
GOLDMAN  SACHS AND CO.,GOLDUS33004
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL038
MONTE PASCHI BANQUE S.A.,MONTFRPPXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXMOH
CAISSE DES DEPOTS ET CONSIGNATIONS,CDCGFRPPFRR
CAIXA D'ESTALVIS DE CATALUNYA,CESCFR2XXXX
CHELINDBANK,CHLBRU4C795
BANQUE DU CAIRE,BCAIEGCXXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44DFT
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL055
HSBC BANK PLC,MIDLFRCP111
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX223
GOLDMAN SACHS ASSET MANAGEMENT,GSAMUS33GSS
AL SHOROUK BROKERAGE CO.,ALSHEGCAXXX
BANCA CARIGE SPA,CRGEFR2XXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCADIM
SURUGA BANK  LTD.  THE,SRFXJPJTXXX
SUEZ CANAL BANK,SUCAEGCXMOH
SUEZ CANAL BANK,SUCAEGCXCAI
LYXOR INTERNATIONAL ASSET MANAGEMENT,LIMXFRPPXXX
BRED BANQUE POPULAIRE,BREDFRPPFDF
ALEKSANDROVSKY BANK,ITEHRU2PXXX
BLOM BANK FRANCE,BLOMFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CD3
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33EDI
CITIBANK N.A.,CITIVNVXHCM
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CES
ARAB INTERNATIONAL BANK,ARIBEGCX001
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPTG2
EURONEXT PARIS S.A.,XPARFRPPLIS
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL051
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL084
CREDIT AGRICOLE CHEUVREUX,CHVIFRPP536
ECONOMIC GROUP,ECGPEGCAXXX
BANCO DE LA NACION ARGENTINA  MIAMI BRANCH,NACNUS3MXXX
